Username,Handle,Timestamp,Tweet,Replies_Count,Retweet_Count,Likes_Count,polarity,sentiment
tres,@TraceLDG,2019-10-06T08:56:22.000Z,"nagisturya #jeepneyphaseout ang 2 ka drayber kag isa ka pasahero.p: kung mag-parehas sa singapore, daw okay man ko sa phaseout.d1: ma'am, mahampang mo lang ang 2.5m para sa isa ka unit? mas damo pa di jeep kaysa pasahero!d2: indi gid na dapat madayon. mahal mahal!",1.0,,7,-1,negative
unknown citizen,@unheard_citizen,2019-10-04T06:57:09.000Z,mas mabuti ung #rehabilitation  wag #jeepneyphaseout sa ganitong paraan hindi mawawalan ng trabaho ang nakararami sa atin,,,,1,positive
unknown citizen,@unheard_citizen,2019-10-04T06:20:46.000Z,"hindi ba't pinag mamalaki pa natin ang jeep sa ibang bansa? maraming dayuhan ang gustong makasakay sa jeep upang ma experience ang pag sakay, pag para, pag abot ng bayad na dito lang sa atin mraransan #jeepneyphaseout",1.0,,,0,neutral
unknown citizen,@unheard_citizen,2019-10-04T06:16:59.000Z,unang una bakit nyo inaalis ang jeep eh bahagi na ito ng lipunan natin #jeepneyphaseout,1.0,,,0,neutral
Interaksyon,@interaksyon,2019-10-04T03:38:45.000Z,we found that there is one issue jeepney drivers are concerned about that government has not often addressed in public. #transportstrike #jeepneyphaseout http://bit.ly/2afqjo7,,4,4,-2,negative
Filipino Citizen,@filcitzn,2019-10-01T20:27:27.000Z,nakakalungkot din naman kung i-phase out ang isa sa mga #tatakpinoy. nawa’y magkaroon ng pagkakasundo ang gobyerno at mga tsuper. (photo not mine) #jeepneyphaseout #transportstrike  #jeep,,,,0,neutral
NJMLDT,@njmldt,2019-10-01T08:52:05.000Z,eksena sa jeep kanina. ale: mama para. drayber: (snob. tuloy sa pag andar.)ale: mama para ho!d: (deadma. around 20mtrs na)a: mama para! kanina pa ko para ng para.d: bawal ho dun! si nyo ba nakita may bantay?! a: para sabi eh wala naman pake yang mga yan! #jeepneyphaseout,,1,3,1,positive
Jao,@Jaollibee,2019-09-30T15:22:44.000Z,"wala na mas tone-deaf pa kay @celineburce at sa gobyernong to. nag-cancel nga ng pasok, ibig sabihin nagtagumpay ang strike. at para saan ang strike? para maipaabot ang hinaing ng mga drivers/operators laban sa #jeepneyphaseout. ano ba naman ang pakinggan sila? ",,,3,0,neutral
Prince Alison,@JasonJa13133315,2019-09-30T13:27:35.000Z,#jeepneyphaseout negosyo nangbuwaya... palitan ang luma kasi sila ang maglagay ng bago...,,,,0,neutral
Vince Olano,@sdvolano,2019-09-30T12:26:17.000Z,dalawang klaseng tao lang ang pabor sa #jeepneyphaseout.1) mga mayayaman/may-kaya na pwedeng hindi magcommute at walang pakelaman sa kapwa niya pilipino2) mga tanga at bayarin na nagbubulagbulagan at di ginagamit ang utak#notojeepneyphaseout,,,2,0,neutral
The Diliman Files,@thelugawfiles,2018-02-15T00:54:23.000Z,true ba na may memo sa profs na 'wag muna mag-attendance sa morning classes because of the #jeepneyphaseout issue?,,,10,-1,negative
Jsn,@jessontifex,2018-02-08T23:54:26.000Z,kaya siguro ang tahimik about #jeepneyphaseout ng mga ~smart dds~ sa timeline ko https://twitter.com/fmrsantiago/status/961592732421468160…,,,1,2,positive
Franxe,@FranxeFries,2018-02-08T15:38:40.000Z,jeepney phase outa thread(this is not an anti post)#jeepneyphaseout,,1,,0,neutral
Ian M. #DEFUNDTHEPOLICE,@naiveity,2018-02-08T04:01:37.000Z,pag hindi ito nacover ng news mamayang gabi yung #jeepneyphaseout na to magwawala at magiintensify yung pagpapakakeyboard warrior ko.@gmanews @abscbnnews @tvpatrol @tv5manila @news5aksyon,1.0,,,-1,negative
Marie Sunset,@IHaveAnOpinionx,2018-02-08T03:43:42.000Z,"#jeepneyphaseout i am all for modernization, but their should be a better alternative for those whose livelihoods will be threatened because of this project.",,,2,2,positive
Marie Sunset,@IHaveAnOpinionx,2018-02-08T03:42:27.000Z,i am for #jeepneyphaseout but our government should offer alternative jobs for those who will be affected. why not allot a budget to subsidies new e jeeps?,,,1,1,positive
Jonrey De Los Santos,@yernojsevic,2018-01-18T02:10:15.000Z,palagi na lang ba ang mamamayan ang mahihirapan at magsasakripisyo... samantalang ang mga mambabatas ay hayahay... #jeepneyphaseout #trainlaw #buhaycommuter,,,,0,neutral
RMN Networks,@rmnnetworks,2017-10-22T06:29:02.000Z,posible nga bang mag resulta sa pagtaas ng bilang ng mawawalan ng trabaho ang #jeepneyphaseout?bayan muna... http://fb.me/8xqxfwkza,,1,1,2,positive
RMN Networks,@rmnnetworks,2017-10-19T14:15:03.000Z,posible nga bang mag resulta sa pagtaas ng bilang ng mawawalan ng trabaho ang #jeepneyphaseout?bayan muna... http://fb.me/1cpn0nufj,,4,6,2,positive
Armando Catapia,@npacamnorte,2017-10-19T06:25:14.000Z,mga dapat malaman sa #jeepneyphaseout http://fb.me/2kxkib24w,,,,0,neutral
X,@xtnabrera,2017-10-18T07:23:29.000Z,sana i-develop na rin nila ang mga multi-cabs and tricycle. hindi sila friendly sa mga katulad kong buff.matabuff!#jeepneyphaseout #fttm,,,,1,positive
Mell Navarro,@mellnavarro,2017-10-18T03:20:08.000Z,"so, ano kaya ang feeling ni mamang driver ng jeep na bumoto ke duterte?  #jeepneyphaseout #january1",,,,1,positive
Juriz,@JurizX,2017-10-18T01:01:13.000Z,mahirap iwan ang nakasanayan pero kailangan #jeepneyphaseout,,,1,-1,negative
Juriz,@JurizX,2017-10-18T00:55:13.000Z,payable naman pala 7 years yung ipinapa loan na modernong jeep. #jeepneyphaseout,,,,-1,negative
Roger,@_RudderDat,2017-10-18T00:46:38.000Z,go for #modern #jeeps ... #jeepneyphaseout for bulok ones!!! https://twitter.com/iamdavidyapii/status/920293751028817920…,,,,0,neutral
DZRH NEWS,@dzrhnews,2017-10-17T21:23:08.000Z,orbos: ang binabantayan po namin dyan ay yung euro four. #jeepneyphaseout,1.0,,1,0,neutral
Ej Sabado,@SoEJSabado,2017-10-17T21:15:35.000Z,"fejodap, acto, ltop, pasang masda and altodap ...these are the transport groups who support the modernization program #jeepneyphaseout",,,,1,positive
Ej Sabado,@SoEJSabado,2017-10-17T21:13:36.000Z,there are many transport groups who support the jeepney modernization program #jeepneyphaseout,,,,1,positive
Nicky Murillo,@NlCKYM,2017-10-17T17:16:30.000Z,ang pagiging sagabal sa daan ay hindi talent but you guys make it seem like it is.  #jeepneyphaseout #jeepneystrike,,,3,-1,negative
Butch Bustria,@bustria,2017-10-17T14:57:18.000Z,https://youtu.be/6zsyeopncdu para sa gusto ng kaayusan panoorin ito at makubinsi kayo na panahon na ang #jeepneyphaseout ! no to #jeepneystrike !,,,,1,positive
Butch Bustria,@bustria,2017-10-17T14:56:47.000Z,https://youtu.be/vubr-yn1av4 para sa gusto ng kaayusan panoorin ito at makubinsi kayo na panahon na ang #jeepneyphaseout ! no to #jeepneystrike !,,,,1,positive
يوسف,@susmaryotepp,2017-10-17T11:54:17.000Z,"i support this! more convenient, safe and futuristic! #transportstrike #jeepneyphaseout",,,2,2,positive
ҡเɱɓε૨ℓყ,@lucidkml_,2017-10-17T11:47:35.000Z,"#jeepneyphaseout nakakadizzy mga tricycle driver dito sa laguna, nilubos pamasahe. palibhasa walang mga jeep!",,,,0,neutral
Elysse Natividad,@elesiiiiiiiiiii,2017-10-17T11:41:38.000Z,on #jeepneyphaseoutme: di nila affordsis: edi mag-loanme: why should i labor?if all the fruits of my labor go to pay an unpayable debt,,,1,0,neutral
jam,@jambo_hotdog,2017-10-17T11:10:07.000Z,atmcrying over the issue #jeepneyphaseout ipagdadasal ko nalang yung mga driver na malulubog sa utang (lalo na yung matatanda) ,,,,-2,negative
jam,@jambo_hotdog,2017-10-17T11:07:26.000Z,"“president” digong, nalilimutan mo na ata gamitin puso mo sa kabutihan. masyado ka nang nakakain ng karahasan. #jeepneyphaseout",,,4,1,positive
Elysse Natividad,@elesiiiiiiiiiii,2017-10-17T10:50:57.000Z,i wonder how all those jeepney drivers that voted for him feel now#jeepneyphaseout,,,,1,positive
Eduard Opeña,@Eduard_Opena,2017-10-17T10:42:32.000Z,ok. i am pro admin. but the #jeepneyphaseout. i think is not convenient to low income people especially who just got their own #jeepney.,,,,0,neutral
Shirley Pelaez,@spl_purple,2017-10-17T10:40:43.000Z,"kase sumunod na kau,para yan sa ikabubuti nyo mga jeepney drivers. magtiwala lang kau #duterte  #jeepneyphaseout",,,1,1,positive
Butch Bustria,@bustria,2017-10-17T05:12:18.000Z,mga bobong #piston na magaral sila magdisenyo ng jeep at kumuha ng sources of information sa kanilang hinaing! perwisyo! #jeepneyphaseout,,,,0,neutral
Frances Bangit,@Frances_Bangit,2017-10-17T03:05:10.000Z,no class again #strike#jeepneyphaseout,,,,-1,negative
Butch Bustria,@bustria,2017-10-17T00:43:50.000Z,"pagsuot nga lang ng matinong damit at pagayos ng signal light nga hindi magawa, r&d pa kaya? walang solution! piston bulok! #jeepneyphaseout",,,2,-1,negative
El,@elmeisterr,2017-10-17T00:19:33.000Z,15 minutes sprint from makati to pasay. #walangpasok  didn't see any stranded commuters also... #jeepneyphaseout ?,,,,0,neutral
JMoonknight,@JSMoonKnight,2017-10-16T23:56:52.000Z,2 days of transport strike. please reflect on what have achieved in doing this one your protests are over. #jeepneyphaseout,,,,-1,negative
Jun Ledda,@asar529,2017-10-16T20:53:09.000Z,maintaning present status is moving backward.#jeepneyphaseout,,1,1,0,neutral
ad,@allduine,2017-10-16T15:29:48.000Z,my father is a jeepney driver and i'm proud of it.  support #transportstrikeno to #jeepneyphaseout https://twitter.com/fatimabadong/status/919737462712233985…,,,,2,positive
Ian M. #DEFUNDTHEPOLICE,@naiveity,2017-10-16T15:27:56.000Z,"puta please, tigil niyo na yung #jeepneyphaseout, wag niyo biglain.",,,4,-1,negative
,@DKdairyking,2017-10-16T15:16:38.000Z,tangina daming tanga sa facebook tungkol sa #jeepneyphaseout puta kalmahin nyo ko ayoko mangaway,2.0,,4,-1,negative
Ian M. #DEFUNDTHEPOLICE,@naiveity,2017-10-16T13:10:43.000Z,"also, ano palang stand ng #esc? at ng #arise at #prime sa nangyayaring #jeepneyphaseout",1.0,,4,0,neutral
Esquire Philippines,@EsquirePH,2017-10-16T07:46:12.000Z,"commuters of the philippines, do you agree with the #jeepneyphaseout? #transportstrike",,7,8,0,neutral
Cindy,@cynmartman,2017-10-16T07:27:56.000Z,#jeepneyphaseoutjeep pa rin. mas mura. kung gusto ko ipapalit sa jeepneys ay may uv express naman or taxi,,,,1,positive
kevin martin,@itskevineleven,2017-10-16T04:45:47.000Z,yes to #jeepneyphaseout and puvmp pero sana isubsidize na lang ng govt yung mga pamalit na puvs kasi taumbayan lang din naman makikinabang dyan. bakit kailangan pagkakitaan pa ng private companies. golden age of infra diba? di naman nalalayo ang transpo dyan pag-investan niyo yan,1.0,1,9,0,neutral
Moon,@moondanipog,2017-10-16T02:39:48.000Z,#transportstrike can someone enlighten me on the main goal of jeepney modernization? it is to ease traffic? beat pollution? #jeepneyphaseout,7.0,,,0,neutral
Adel,@Eydeleidi,2017-10-16T01:16:19.000Z,"who loses, who gains from jeepney phase out? #transportstrike  #jeepney #jeepneyphaseout",,,,0,neutral
Edge Nagaicneg,@edge_genciagan,2017-10-15T23:36:45.000Z,support #transportstrike no to #jeepneyphaseout,1.0,28,40,1,positive
SunStar Pampanga,@SunStarPampanga,2017-10-14T05:42:03.000Z,"jeepney transport groups all over pampanga set a mass strike on oct 16, 17 #jeepneyphaseout #stike",,,2,0,neutral
Robert Roque Jr.,@Side_View,2017-03-07T11:46:52.000Z,kapit sa patalim#ltfrb #jeepneyphaseout http://hatawtabloid.com/2017/03/07/kapit-sa-patalim/…maraming... http://fb.me/nzp5nadi,,,,0,neutral
katrinastuartsantiago,@radikalchick,2017-03-02T08:07:43.000Z,replying to @phillawuniverse,,1,,0,neutral
lady ann salem,@ladyannsalem,2017-02-27T10:38:32.000Z,uber infamous tweet sends understanding on transport strike's way. #deleteuber #jeepneyphaseout,1.0,,,-1,negative
Haynon,@mePAYTOT,2017-02-27T01:44:28.000Z,"infairness diri cebu! way uso ang transport strike. kakain dn mga pamilya nla besh ,#change #jeepneyphaseout",,,,-1,negative
Manila Today,@manila_today,2017-02-27T01:40:05.000Z,cubao-vito cruz jeepney routes joined today's #transportstrike to call vs #jeepneyphaseout,,24,32,0,neutral
Pamalakaya Pilipinas,@pama_pil,2017-02-26T22:58:14.000Z,#jeepneyphaseout is no modernization but privatization in disguise.support nationwide #tigilpasada,,18,15,0,neutral
Vachi,@vachiraphuaklek,2017-02-26T22:06:34.000Z,tama lang phase out sobrang polluted na metro manila.#jeepneyphaseout,,,,1,positive
Mhiman Orbista,@MhimanOrbista,2017-02-26T21:10:01.000Z,i know maraming pwede mawalan ng trabaho pero mas prone kasi sa accident ang lumang jeeps db? #jeepneyphaseout,,,1,1,positive
Subic Bay News,@subicbaynewsnet,2017-02-26T15:05:06.000Z,no transport strike in olongapo city...#jeepneyphaseout http://fb.me/4rxxp4sjp,,3,3,-1,negative
Raimond Dasalla,@Raimond_Dasalla,2017-02-26T01:57:51.000Z,"#jeepneyphaseout is not phase out per se, but rather it is a modernisation of jeepneys; want this country to move forward? have an open mind",,,1,1,positive
Ma'amSyj,@MaamSyj,2017-02-06T13:18:56.000Z,pero #jeepneyphaseout ang dahilan ng strike. #malinaw,,1,1,-1,negative
Genshin Gamer,@cezzyphink,2016-01-04T13:59:02.000Z,gusto natin ng improvement pero ayaw naman natin tanggapin na may mga kailangan ng bitawan.. #jeepneyphaseout,,1,2,-1,negative
Jed Doctor,@jedmd,2015-12-07T01:15:06.000Z,yung halos wala nang jeep na masakyan pero traffic pa rin sa bicutan. #transpostrike #jeepneyphaseout,,,,0,neutral
HighPower,@highpower2016,2023-03-05T23:01:55.000Z,"no to jeepney phase out!!! jeepney is not only a public transport, but it has been a trademark to our country. jeepneys are a part of our culture now. we fight and we stand no to the jeepney phase out. #notojeepneyphaseout #isangjeep #pinoyjeep #jeepneyphaseout",,6,13,3,positive
Renee Karunungan Edwards,@rjkarunungan,2023-03-03T00:09:32.000Z,support the jeepney drivers as they fight for their livelihood. #jeepneyphaseout,1.0,56,588,1,positive
The Diliman Files,@thelugawfiles,2018-02-15T00:54:23.000Z,true ba na may memo sa profs na 'wag muna mag-attendance sa morning classes because of the #jeepneyphaseout issue?,,,10,-1,negative
вrndngrn #𝔖𝔬𝔠𝔦𝔞𝔩𝔇𝔦𝔰𝔱𝔞𝔫𝔠𝔦𝔫𝔤,@brndngrn,2020-04-17T10:55:49.000Z,award: #gracepoe knows a lot about failing even the minimum standard of leadership. nakatatlong strike na sya. #edsatraffic #jeepneyphaseout #yestoabscbnshutdown,2.0,9,18,1,positive
Edge Nagaicneg,@edge_genciagan,2017-10-15T23:36:45.000Z,support #transportstrike no to #jeepneyphaseout,1.0,28,40,1,positive
jadi (taylor's version)¹6ⁿⁿ,@sageparadisea,2023-03-25T10:26:46.000Z,this is one of many why should we say no to #jeepneyphaseout,,,2,0,neutral
Zion Ryan Cruz,@zryanverse,2023-03-06T00:40:29.000Z,mahirap kasi ayaw nila intindihin. it’s their way or the highway. absolute. not a democracy. no middle ground. no looking at alternatives. no consensus. #jeepneyphaseout #jeepneystrike,2.0,1,11,-1,negative
Alli |,@Jelo_twt,2023-03-03T04:49:55.000Z,blaming the victims of this #jeepneyphaseout will not help the situation. you’re only putting salt in the wound. use your platform to call out the government and fulfill its purpose to serve the filipino people.,,1,9,0,neutral
A Balancing Bipolar,@peachybrets,2023-03-06T04:38:10.000Z,ride at your own risk  #freeride #librengsakay #jeepneyphaseout #jeepneystrike,,,2,-1,negative
Jasmin ᵕ̈,@kfinew,2023-03-06T22:25:46.000Z,"some thoughts on the #jeepneymodernization #jeepneyphaseout in phph transport situation is complex. having a multiplicity of vehicle ownership arrangement, wider diversity of vehicle types, speeds and street-uses, communist-infiltritated transport groups increases policy…",,1,9,0,neutral
,@MyKey_10_07,2023-03-06T03:44:42.000Z,eh ano naman kasi aasahan mo sa ang ultimate goal was to only win the last election by hook or by 31m crooks and the rest bahala na si antman?#jeepneyphaseout,,,11,1,positive
Empress K,@EmpressKxxx,2023-03-03T10:21:12.000Z,"oplan: libreng sakay of city of manila on monday, march 6: manila public information office / facebook#jeepneyphaseout",,2,5,0,neutral
Event Horizon bitchhh (3am Edition),@IzahFeeling,2023-03-07T12:46:35.000Z,"it would have been a great sight to see, if these same toxic christians cried during the #jeepneyphaseout",,,,2,positive
Kenn,@thekenncruz,2023-03-09T13:01:28.000Z,"we rarely get the chance to be the news on such platforms, and when we do, it has to be bad news #pilipinasangsakitmongmahalin#jeepneyphaseout #nomorefuninthephilippines",,,1,-1,negative
Piglin Brute,@spamSTP,2018-10-27T17:10:09.000Z,a spectre is haunting jeepney passengers — the spectre of communism #presyoibaba #jeepneyphaseout,,1,,1,positive
Elysse Natividad,@elesiiiiiiiiiii,2017-10-17T10:50:57.000Z,i wonder how all those jeepney drivers that voted for him feel now#jeepneyphaseout,,,,1,positive
ad,@allduine,2017-10-16T15:29:48.000Z,my father is a jeepney driver and i'm proud of it.  support #transportstrikeno to #jeepneyphaseout https://twitter.com/fatimabadong/status/919737462712233985…,,,,2,positive
Kiks Balayon,@itazra,2023-03-06T07:02:05.000Z,this #jeepneyphaseout issue is a litmus test if ph society is ready to move forward. unfortunately we are still backwards. not surprised at all.,,1,1,1,positive
Shadilou,@Snapshadilou,2023-03-06T03:41:50.000Z,"with this whole jeepney phasout thing. why can't the govt first shoulder the cost, tapos a percentage of the operaters owners goes to payback the govt then when they're fully paid bahala na? why do the people suffer cause the govt doesnt think? #jeepneyphaseout",,,,1,positive
SNIPPETMEDIA,@snippetmedia,2019-09-30T02:36:33.000Z,do you agree with the government's #jeepneyphaseout plan? https://bit.ly/2mei8qq,,,,0,neutral
śtōrm,@stor_mee,2023-03-08T15:14:48.000Z,"i agree with the #jeepneyphaseout but with conditions that benefit the environment, safety of commuters, livelihood of drivers, and traditional imagery of the jeepney.",1.0,,3,1,positive
Patrick,@patrickleonardr,2023-03-05T07:18:07.000Z,"what tf were they doing since 2017? did the jeepney groups plan this out?  raise capital, get investors, etc? i’d like to see their 5-year strat plan leading up to the 2023 phaseout deadline… they act like school kids ranting over their homework come morning #jeepneyphaseout",,,1,3,positive
SimpleRule,@greenandleafyme,2023-03-12T23:46:51.000Z,what should we do if we can't change the ugly look of our roads because our government is incapable of putting policies into action?#jeepneyphaseout,,,,0,neutral
SunStar Pampanga,@SunStarPampanga,2017-10-14T05:42:03.000Z,"jeepney transport groups all over pampanga set a mass strike on oct 16, 17 #jeepneyphaseout #stike",,,2,0,neutral
JMoonknight,@JSMoonKnight,2017-10-16T23:56:52.000Z,2 days of transport strike. please reflect on what have achieved in doing this one your protests are over. #jeepneyphaseout,,,,-1,negative
Jomarie Sauquillo,@ItsMeGrayKnight,2023-03-02T16:13:00.000Z,"(1) regarding the issue of #jeepneyphaseout, ltfrb must maintain the original design of our classic jeepneys and incorporate the upgrades like cctv, digital money like beep, gcash etc. for e-jeep it is feasible. the problem is they're teaming up with",1.0,,1,1,positive
Ej Sabado,@SoEJSabado,2017-10-17T21:13:36.000Z,there are many transport groups who support the jeepney modernization program #jeepneyphaseout,,,,1,positive
Nicky Murillo,@NlCKYM,2017-10-17T17:16:30.000Z,ang pagiging sagabal sa daan ay hindi talent but you guys make it seem like it is.  #jeepneyphaseout #jeepneystrike,,,3,-1,negative
Kristo,@marcboni,2023-03-07T10:47:02.000Z,china moved from bicycles to electric vehicles; philippines is stuck with heavy diesel jeeps that are unsafe and that cause cancer #jeepneyphaseout,,,,-2,negative
RyZa,@htebazyr,2023-03-06T02:10:33.000Z,my students can relate well sa jeepney modernization issue today because of one article that i let them read and create a position paper about it. #jeepneyphaseout what’s your position?,,,,1,positive
Subic Bay News,@subicbaynewsnet,2017-02-26T15:05:06.000Z,no transport strike in olongapo city...#jeepneyphaseout http://fb.me/4rxxp4sjp,,3,3,-1,negative
Raimond Dasalla,@Raimond_Dasalla,2017-02-26T01:57:51.000Z,"#jeepneyphaseout is not phase out per se, but rather it is a modernisation of jeepneys; want this country to move forward? have an open mind",,,1,1,positive
Trendrod,@TrendrodPH,2023-03-05T09:32:52.000Z,"walang coding.the mmda suspends the implementation of the number coding scheme on monday, march 6, 2023. this, as participating pujs hold a strike starting tomorrow vs. the planned phaseout of traditional jeepeneys by the end of this year.#jeepneyphaseout",,1,,0,neutral
Merlie,@merlie66,2018-03-20T16:23:49.000Z,"this jeepney phaseout, why not make it optional, then let’s see who gets the most passengers on the road, who want’s to ride dilapidated ones when there’s a better option? #jeepneyphaseout",,,1,2,positive
PhilNews,@PhilNews247,2018-06-23T07:53:31.000Z,#transportstrike #strike #jeepneyphaseout #june25 #walangpasok#walangpasok: class suspensions on monday (june 25)https://philnews.ph/2018/06/23/walangpasok-class-suspensions-monday-june-25/…,,,,-1,negative
Ej Sabado,@SoEJSabado,2017-10-17T21:15:35.000Z,"fejodap, acto, ltop, pasang masda and altodap ...these are the transport groups who support the modernization program #jeepneyphaseout",,,,1,positive
Tough Love,@toughlove48,2023-03-07T01:22:45.000Z,this is similar to #jeepneyphaseout - change in the name of #climatescam. btw this is not a bbm thing - all 5 major presidentiables are leftist globalists - wef puppets.we need filipino conservatives / traditionalists to step up next elections or we go sri lankan.@bro_eddie,,,,1,positive
Paglikha Project,@paglikhaproject,2020-07-22T08:00:23.000Z,"the government’s push for the modernization of jeepneys, the most popular mode of public transportation in the philippines, seems like a good idea at first. #artph #jeepneyphaseout(1/4)",1.0,11,12,4,positive
Ang Bayan,@AngBayan_1969,2023-06-12T11:39:44.000Z,"inilunsad ng transport sector ang isang transport summit noong hunyo 10 para pagbuklurin ang mga tsuper, maliliit na opereytor, at mga pasahero laban sa banta ng #jeepneyphaseout at para palakasin ang panawagan ng sambayanan sa pangmasang transportasyon.https://philippinerevolution.nu/angbayan/transport-summit-idinaos-ng-mga-tsuper-at-opereytor/…",1.0,4,5,-1,negative
Paglikha Project,@paglikhaproject,2020-07-23T08:00:15.000Z,"whether you’re affected by the jeepney phaseout or not, it’s important to know how and why this issue is so important to all of us. it’s more than just money, it’s the livelihoods of real people and is part of our cultural identity. #artph #jeepneyphaseout (1/4)",1.0,7,18,1,positive
Tough Love,@toughlove48,2023-03-09T01:06:22.000Z,#jeepneyphaseout is the perfect time to not issue permits to prospective owners without their own garage. my tax paid for these sidewalks so that i can walk on them - not to avoid parked vehicles. @bongbongmarcos,,,,0,neutral
lol,@lolyoushort,2023-03-06T07:16:28.000Z,what’s the point of the #jeepneyphaseout when we’re just replacing them with buses? they’re buses idc what you say.question we should all be asking is who got paid for this. because i can guarantee you that some lowlife politician benefited from this.,,,,0,neutral
Paula Saraza,@PaulaSaraza_,2023-03-09T15:23:11.000Z,"“there might be a tendency, they’ll double the fare”filcans share thoughts about the #jeepneyphaseout in  - although in favour of modernizing the traditional puvs, some say there needs to be a proper consultation with transport groups and commuters/passengers. @omnifilipino",1.0,2,2,3,positive
𝕄𝕠𝕕𝕖𝕝𝕝𝕠 𝕕𝕚 ℍ𝕠𝕣𝕟ℙ𝕦𝕓 ,@dariophoto69,2018-03-19T04:03:41.000Z,"as a foreigner i say... in thailand tuktuk were smokey, dirty and dangerous for people's health, same as the jeepneys are here.they simply updated 'em all to lower the pollution.drivers are assholes as before. even electric won't change that!#jeepneyphaseout is needed",,2,2,1,positive
Roy D. #MentalHealthPH,@rdahildahil_,2020-06-09T05:01:46.000Z,replying to @lendmeyourhands,3.0,,,0,neutral
lady ann salem,@ladyannsalem,2017-02-27T10:38:32.000Z,uber infamous tweet sends understanding on transport strike's way. #deleteuber #jeepneyphaseout,1.0,,,-1,negative
katrinastuartsantiago,@radikalchick,2017-03-02T08:07:43.000Z,replying to @phillawuniverse,,1,,0,neutral
Ysla Carmen,@YslaCarmen,2023-03-02T12:50:46.000Z,angeles city leader posted this in line with the jeepney nationwide strike#jeepneynationwidestrike #jeepneyphaseout,,,,-1,negative
Team_PIA,@OfficialSenPia,2023-02-28T14:25:54.000Z,"sen @piacayetano: the #jeepneyphaseout program runs counter to ph's commitment to fulfill several #sdgs including: sdg 1 (no poverty), sdg 8 (decent work and sustainable growth); & sdg 11 (sustainable cities & communities). #watch https://fb.watch/izny3kjwsf/",,1,1,2,positive
DOST PCIEERD,@dostpcieerd,2023-03-09T23:43:51.000Z,"through electric jeepney and lpg-powered jeepney, dost-pcieerd offers alternatives for puv modernization. read more at https://pcieerd.dost.gov.ph/news/latest-news/513-dost-touts-e-jeep-lpg-powered-jeeps-for-puj-modernization… #pujmodernization #jeepneyphaseout #ejeep #innovation",,,,0,neutral
rai ✩,@b1aobei,2023-03-04T06:53:52.000Z,hiii! how is everyone? ꒰collecting responses for school purposes꒱what are your insights on the #jeepneyphaseout and the tigil pasada movement?,,,1,0,neutral
The Road King,@TheRoadKingG1,2023-03-17T14:02:14.000Z,we are a team of multimedia art students making the most out of our blog activity in writing for new media by using it as a means to discuss a relevant topic among us filipinos: the aforementioned jeepney phaseout.#jeepneyphaseout #forschoolpurposes,,,,3,positive
Chiridikongkoylak,@hackdugbans,2023-03-11T14:40:07.000Z,"the irony of pinoys: atat sa improvement pero galit sa proseso. do not put forward any propositions like jeepney modernization again. we are allergic to long-term solutions as it coexist with inconvenience. ganto na lang po ang ph, wag na baguhin. #jeepneyphaseout",3.0,1,1,1,positive
eyyrizz,@gieofhugiko,2023-03-06T15:04:54.000Z,"i don't know what is the purpose of #jeepneyphaseout. we are in the philippines what are you expecting? hahhaha want to make anything hightech or more?? stop being selfish, not e not everyone living in this world is born with silverspoon with their mouths.",1.0,,,0,neutral
Megan Rowling,@meganrowling,2023-03-01T17:21:52.000Z,"#philippines trade unions say the #jeepneyphaseout programme will result in ""wholesale disenfranchisement"" of small operators and is a form of state violence toward informal passenger #transport workers who live a hand-to-mouth existence #justtransition | @mariejoramosinq reports",,2,3,2,positive
Interaksyon,@interaksyon,2019-10-04T03:38:45.000Z,we found that there is one issue jeepney drivers are concerned about that government has not often addressed in public. #transportstrike #jeepneyphaseout http://bit.ly/2afqjo7,,4,4,-2,negative
Miss Go,@miriamgracego,2023-03-06T00:13:15.000Z,list: schools shifting to online classes due to weeklong transport strikehttps://rappler.com/nation/list-schools-shifting-online-classes-due-transport-strike-march-6-12-2023/… via @rapplerdotcom #jeepneyphaseout,,,,0,neutral
Updates PH,@NDFUpdatesPH,2023-03-14T16:23:02.000Z,"transport unions piston, manibela and other jeepney operators’ and drivers’ orgs led about 100k drivers in major cities to protest the marcos govt’s #jeepneyphaseout program which will replace jeepneys with the minibus that drivers can't possibly afford.",,1,4,1,positive
republicasia,@republicasiadot,2023-03-08T00:25:54.000Z,"upon learning in 2017 that former president rodrigo duterte plans to pull out the aging jeepneys of the country, efren began feeling anxious about his fate as a driver. | #jeepneyphaseout #news #newsph #socialnewsph #republicasianews #republicasia",1.0,4,5,1,positive
Mormon Benito,@mormonxbenito,2023-06-02T11:43:46.000Z,parang gusto ko na mag #jeepneyphaseout,,,,1,positive
CHANO,@iam_hischanz,2023-05-28T09:37:16.000Z,it is almost 15-20 min.  since byaheng naic to trece sya and nakaupo lang ako ng maayos sa tapat ng sm treceayos po tayo sa byahe naic to trece terminalnaging against din naman ako sa #jeepneyphaseout !!?,1.0,,,1,positive
girlwhohasnoname,@vaporub_viks,2023-05-26T02:02:19.000Z,"after this day, now i support #jeepneyphaseout abay putanginang jip ko knina 30mins. na nagantay ng pasahero kahit puno na sya nakakapika mga ganitong drayber tangina kayo",,,,0,neutral
Gab,@gabpadiernos_,2023-04-19T15:45:52.000Z,replying to @zendileok,,,1,0,neutral
