Username,Handle,Timestamp,Tweet,Replies_Count,Retweet_Count,Likes_Count,,,
Anakbayan FEU-IAS,@AnakbayanFEUIAS,2023-03-25T12:53:59.000Z,"You can drop off your donations at Nicanor Reyes Street, Morayta, Manila (Front of FEU). Visit the strike center! For interested volunteers, you can contact us by sending a message on our page. 

Let's support our PUV drivers, mga kababayan!
 
#NoToJeepneyPhaseout",,,2,,,
UP Radio Circle,@upradiocircle,2023-03-25T12:46:38.000Z,"EP 019: Para Po! Itutuloy Pa Ba ang Pamamasada? #NoToJeepneyPhaseout

Join our new hosts Albert and Trin as they talk about why we should assert for a pro-people form of jeepney modernization.

Brought to you by UP Radio Circle.

https://spotify.link/pRCTxgcjsyb

#KayaToday
#UPRadioCircle",,17,23,,,
Kabataan Partylist FEU,@KPLFEU,2023-03-25T12:37:43.000Z,"Bukas, March 26, may relief operations na ilulunsad para sa Morayta drivers at operators. Maaari tayong maghatid ng tulong pinansyal at in-kind donations, o magvolunteer. 

SUPPORT OUR MORAYTA JEEPNEY DRIVERS AND OPERATORS!

#NoToJeepneyPhaseout",,,3,,,
biya is seeing txt(2),@yjdazed,2023-03-25T12:30:55.000Z,"#NoToJeepneyPhaseout , jeep daw pag dito sa manila stop",,,,,,
"inactive na here, bye",@M3KKIRA,2023-03-25T11:28:10.000Z,#NoToJeepneyPhaseout,,,,,,
coco much★⁵,@ksmcocoo,2023-03-25T10:21:07.000Z,Tanginang rally yan!! #NoToJeepneyPhaseout,,,5,,,
jaeeee⁸ | yeomonth,@moooonjae,2023-03-25T10:10:40.000Z,"Replying to 
@_hapitips",1,,1,,,
Azaiiiiiiiii,@Zamteeee,2023-03-25T10:06:19.000Z,"Sobrang saya talaga sa pakiramdam kapag nakasabit sa jeep. Hindi katulad sa modern jeepney, may Aircon nga wala naman sabitan 

#NoToJeepneyPhaseout",,,,,,
꒰ tacos ꒱,@tacoswrites,2023-03-24T16:58:23.000Z,"ewan, kapag sasakay na ako sa jeep sila maaalala ko hahaha #NoToJeepneyPhaseout",,,,,,
beckfreen,@gay4becca,2023-03-24T16:47:27.000Z,"#NoToJeepneyPhaseout  
#srchafreen",,,,,,
Majoda,@Majoda_M,2023-03-24T16:33:18.000Z,"The Downfall

#NoToJeepneyPhaseout 
#mangaart",,,2,,,
A.J,@jpulms_,2023-03-24T16:19:40.000Z,"Replying to 
@atmbolatzxc
 and 
@BergoyTate",1,,,,,
sol,@nmntj_,2023-03-24T16:02:40.000Z,first solo commute ha tac tas waray ak papasasahia #NoToJeepneyPhaseout ,,,3,,,
🅲🅷🆁🅻🆈,@charlesantonYOW,2023-03-24T13:58:12.000Z,"I’ll give him cash if we crossed paths again.. not because naaawa ako but because he deserve to be blessed because of his kind heart..

Tangina #NoToJeepneyPhaseout",,,1,,,
reigh,@reimarriedtodre,2023-03-24T12:59:37.000Z,anyw #NoToJeepneyPhaseout,1,,1,,,
𝓡𝓸𝓬𝓴𝔂_𝓦𝓸𝓵𝓯 || #Ipana7oNaNa10to,@rxcky_wxlf13,2023-03-24T09:15:04.000Z,"Yung araw na lang yung iphase-out nyo, potanginang ang inet.

#NoToJeepneyPhaseout",,,,,,
kani,@cannean,2023-03-24T09:02:44.000Z,"Replying to 
@jjwijun",,,1,,,
polo,@_panggatong,2023-03-24T06:51:06.000Z,"nakwento rin ni kuya na mas pinipili niyang sa loob nalang ng campus mamasada kasi tipid sa gas kahit hindi ganun karami ang sumasakay

ramdam nating lahat ang kasalukuyang krisis ng bansa sa ekonomiya kaya patuloy ang panawagang #SahodItaasPresyoIbaba #NoToJeepneyPhaseout ",,,4,,,
jay #BLCKMSCCHAMPS,@ohmyveemuse,2023-03-24T05:53:11.000Z,Escalera's story #NoToJeepneyPhaseout,,,1,,,
진주 is meeting 우즈 #WOODZinMNL,@iridescentwoodz,2023-03-24T04:44:17.000Z,"Replying to 
@heyit_sfaith",1,,2,,,
SeatmateS Official,@SeatmatesO,2023-03-24T02:50:29.000Z,"SeatmateS : Homecoming, Three Song Launch

Happening at Scream Bar QC.

March 18, Saturday.
8pm onwards.

#notojeepneyphaseout
#screambar
#rokujuproductions",,,,,,
yato drama to wuju bakery♡,@pancake_ni_J,2023-03-23T14:13:21.000Z,#NoToJeepneyPhaseout,,1,1,,,
,@greislee,2023-03-23T13:14:22.000Z,"#NoToJeepneyPhaseout 
#AAtlasWeWillReignAgain 
#AtlasCoronationNight 
#SPCAtlas2023",,,,,,
jingjing: tteotm brainrot,@healeniaea,2023-03-23T12:26:44.000Z,"""we could still pursue modernization without compromising the livelihood of our jeepney drivers.""

AND I SAY KORIQUE!! #NoToJeepneyPhaseout 

#AKBoldAndBright
#KnightsShowYourMight
#AKSaKnightsAngKorona
#SPCAtlas2023
#SPCAtlas2023CoronationNight",1,68,187,,,
jyo⁽ᵀⱽ⁾,@anobajiyo,2023-03-23T12:11:43.000Z,"“Binubuo man ng barya ang mga milyon ngunit hinding hindi kailanman magiging milyon ang mga baryang may binubuhay kahit sa pagsapit ng ilan pang umaga.”

#NoToJeepneyPhaseout 
#NoToJeepneyModernization",1,,,,,
Micko Aldave,@micko_aldave,2023-03-23T11:37:11.000Z,Napaka girigis naman ng jeepney driver na toh. Mas bata pa sakin. Mga tambay lang eh. Halatang wala pang lisensya. Sayang yung pag advocate ko sa #NoToJeepneyPhaseout tas sinisira nyo lang!,,,,,,
Mapúa Council of Organizations,@coomapua,2023-03-23T11:24:21.000Z,"Replying to 
@OneMapua",,1,1,,,
One Mapúa,@OneMapua,2023-03-23T11:05:39.000Z,#NoToJeepneyPhaseout,1,4,10,,,
Film Weekly,@FilmWeekly,2023-03-23T11:04:48.000Z,"Tanong ni Ka Mody Floranda, Presidente ng PISTON, para kanino nga ba ang jeepney phaseout? Ang layunin ba nito ay makatutulong sa mga manggagawang Pilipino o interes ng negosyo? Panoorin ng buo sa
https://youtube.com/watch?v=6F-Z-dZt-cM…
#NoToJeepneyPhaseout #NoToPUVPhaseout",,5,3,,,
SITTI,@ctsu0020,2023-03-23T10:17:27.000Z,ma ang hirap magpigil ng tawa sa ejeep habang nakatayo galing kalentong hanggang pasig #NoToJeepneyPhaseout,1,1,,,,
Shaine,@shncrz_09,2023-03-23T09:57:04.000Z,"I had a chance na makasakay sa ganitong jeep and I was delighted! Its an upgrade and at the same time, keeping our culture and etc feels. Wala lang. 

Still hoping na our fellow jeepney drivers will get what is right for them. #NoToJeepneyPhaseout",1,,5,,,
ALTbatR0SE,@jaymazingwalk,2023-03-23T03:30:02.000Z,#NoToJeepneyPhaseOut,,,,,,
𝕧𝕚𝕟𝕔𝕖𝕟𝕥𝕪,@Vincenty93,2023-03-23T02:35:07.000Z,"Replying to 
@SiBebinTo",,,,,,
jekjek,@defnotelle_,2023-03-22T16:31:58.000Z,"YUNG MGA STUDYANTE RAW NGAYON BAKIT HINDI NA LANG MAG-ARAL NG MABUTI, PURO RAW LALAKE PINAG-AARALAN. I KENNAAATT THEN SABI NIYA PA,  DAPAT DAW I-PHASE OUT NA YUNG MGA JEEP KASI BULOK, MAUSOK, TAPOS SIRA-SIRA NA MABAHO. MAGANDA NAMAN RAW YUNG IPAPALIT SA JEEP

#NoToJeepneyPhaseout",,,,,,
jekjek,@defnotelle_,2023-03-22T16:24:35.000Z,"'DI NAMAN AKO NAOFFEND PERO NAKAKASAD LANG NA SINABIHAN AKO NG GANON I MEAN HINDI NAMAN LAHAT NG STUDENTS GANON? so, sumakay ako ng jeep, then may nakasabay ako sumakay. nagbayad ako, sabi ko ""studyante po"" then yung kasabay ko nagsalita (tbc)

#NoToJeepneyPhaseOut",1,,,,,
art.mae,@artdotmae,2023-03-22T14:30:00.000Z,"missing lrt 2 rides to and from uni :>

here's 2/3 of my commute series using #pptart 

#NoToJeepneyPhaseout  #artph",,6,13,,,
ac,@cyalegria30,2023-03-22T14:15:13.000Z,Fight for all hard working jeepney drivers don't let this program take their jobs. #notojeepneyphaseout,,,,,,
ac,@bdefghijk22,2023-03-22T14:11:31.000Z,Fight for all hard working jeepney drivers don't let this program take their jobs. #notojeepneyphaseout,,,,,,
ً,@kl___0l_,2023-03-22T14:06:06.000Z,galit na galit naman si kuya sa jeep hahaha #NoToJeepneyPhaseout,,,,,,
yourname,@hynanymous,2023-03-22T13:44:11.000Z,"Mag maggaranon kamo, sakay kamo dyapon sa amon hah.
Maabot niya gid na inyo dreams, pila nalang ka tuig. Dedication lang sa pag eskwela kay maabot mo gd imo handum. #NoToJeepneyPhaseout",1,,,,,
ash,@takorikiiiiii,2023-03-22T11:53:21.000Z,YEEES HAHAHAHHA #NoToJeepneyPhaseout,,,,,,
Mermaid,@NikishBleyr,2023-03-22T07:57:02.000Z,#NoToJeepneyPhaseout but #YesToClarencePhaseout,,3,2,,,
UPLB Perspective,@uplbperspective,2023-03-22T07:38:12.000Z,"Matatandaang nagkaroon ng isang linggong tigil pasada ang mga tsuper sa bansa noong ika-6 hanggang ika-13 ng Marso upang tutulan ang Jeepney Phaseout sa bansa.

#NoToJeepneyPhaseout",,,1,,,
UPLB Perspective,@uplbperspective,2023-03-22T07:38:11.000Z,"TINGNAN: Nagtungo ang Serve The People Brigade (STPB-UPLB) sa tanggapan ng El Danda Forestry Jeepney Operator Driver’s Association Inc. (ELFJODAI) upang kumustahin at magbigay ng relief packs sa mga tsuper matapos ang transport strike.

#NoToJeepneyPhaseout",1,26,59,,,
Pio,@piodaldal,2023-03-22T07:22:12.000Z,"Sa totoo lang ang dapat 
iphase out yung mga mapag gawa ng kwento. 

#NoToJeepneyPhaseout",,,,,,
밀®,@pockycams,2023-03-22T03:11:15.000Z,"end of thread!

feel free to reply more photos (because I know there's so much more!) and let us relive precious ot5 moments~ 

and... #NoToJeepneyPhaseout ",,,19,,,
jojo,@manjirothegreat,2023-03-21T13:27:53.000Z,#NoToJeepneyPhaseout,,,,,,
Ryse,@iineveragain,2023-03-21T11:34:33.000Z,#NoToJeepneyPhaseout yes to #iphaseoutmgademonyongsulsolnakaibigan,,,,,,
PARA sa #ProPeopleTransport!,@PARA_AIT,2023-03-21T10:54:36.000Z,"Patuloy nating igiit na ang pampublikong transportasyon ay pampublikong serbisyo. Patuloy nating ipaglaban ang makamamamayan, ingklusibo, pangmasang pampublikong transportasyon na para sa kapakanan ng lahat.

Basahin ang aming buong pahayag

#NoToJeepneyPhaseout
#NoToPUVPhaseout",,1,2,,,
PARA sa #ProPeopleTransport!,@PARA_AIT,2023-03-21T10:54:31.000Z,"Nakikita namin ito bilang taktika para pagbanggain ang interes ng mga commuter at manggagawa sa transportasyon, at pagtunggaliin ang mga driver at operator ng PUV na lumalaban sa consolidation at ang kanilang kasamahang nakapag-consolidate na.

#NoToJeepneyPhaseout",1,1,1,,,
PARA sa #ProPeopleTransport!,@PARA_AIT,2023-03-21T10:54:27.000Z,"Ang anunsyo kamakailan ng DOTr na magbigay ng “discount” sa pamasahe ng pampublikong sasakyan mula P12 hanggang P9 ay magandang balita para sa PARA-AIT at sa iba pang mga commuter. Gayunpaman, kaduda-duda ang timing at layunin ng ""discount.""

#NoToJeepneyPhaseout
#NoToPUVPhaseout",1,7,5,,,
trix,@dalgomikai,2023-03-21T10:34:36.000Z,#NoToJeepneyPhaseout,,,,,,
,@sea_459,2023-03-21T02:19:02.000Z,ITS TRUE! #NoToJeepneyPhaseout,,,,,,
,@jnchellas,2023-03-21T00:27:14.000Z,they said #NoToJeepneyPhaseout,,,1,,,
,@lilietokki,2023-03-20T23:10:26.000Z,they said #NoToJeepneyPhaseout,,,1,,,
℘ųཞ℘Ɩɛ Ɩơ۷ɛ,@_Itsme_Purple,2023-03-20T22:44:46.000Z,BLACKPINK's world tour live band says: #NoToJeepneyPhaseout,,1,18,,,
blu,@blu5x,2023-03-20T21:50:16.000Z,#NoToJeepneyPhaseout,,1,1,,,
Ⓡ︎Ⓘ︎Ⓒ︎Ⓗ︎ ia,@in_bp88,2023-03-20T15:22:51.000Z,oh my goooodddd malapit and yes to #NoToJeepneyPhaseout,,,,,,
k,@manobansot,2023-03-20T15:22:33.000Z,#NoToJeepneyPhaseout,,,1,,,
ninisé,@rosieslayer__,2023-03-20T15:18:55.000Z,They said #NoToJeepneyPhaseout,,,,,,
aliyah,@pinkedddd,2023-03-20T15:14:39.000Z,#NoToJeepneyPhaseout yass,,,,,,
V,@pinksprintt,2023-03-20T15:14:17.000Z,He said #NoToJeepneyPhaseout,,,1,,,
shan,@khanea_,2023-03-20T05:05:12.000Z,#NoToJeepneyPhaseout,1,1,1,,,
jay,@dumpjsv,2023-03-20T04:58:52.000Z,"#NoToJeepneyPhaseout
late qrt BAKIT NGAYON LANG AK NAG OPEN E BAKIT B",,,,,,
ky | gradwaiting,@thraiangles,2023-03-20T03:25:54.000Z,"Hello good morning!!!

#NoToKaliwaDam
#NoToJeepneyPhaseout 
#NoToChaCha 

#YesToJayChang vote Jay Chang y'all, parang awa niyo na!!!!!!!!!!",,,,,,
tala,@https_sinagtala,2023-03-20T03:12:57.000Z,"NOT ENHA RELATED PERO PALIKE AND SHARE PO!
Me and my groupmates decided to start a campaign for our dear jeepney drivers and commuters as our school proj.

promise educational shea and marami kami contents na irerelease :))

https://web.facebook.com/arangkadapinas2023/…

#NoToJeepneyPhaseout",,,,,,
ellie,@lanweibunbun,2023-03-20T03:11:30.000Z,"NOT ENHA RELATED PERO PALIKE AND SHARE PO!
Me and my groupmates decided to start a campaign for our dear jeepney drivers and commuters as our school proj.

promise educational shea and marami kami contents na irerelease :))

https://web.facebook.com/arangkadapinas2023/…

#NoToJeepneyPhaseout",,,,,,
b.,@woncattu,2023-03-20T03:10:47.000Z,tama yan gael #NoToJeepneyPhaseout,,,,,,
박 찬린,@Manilas_Venus,2023-03-20T00:41:48.000Z,"GOOD MORNING JAAAAAY
#ENHYPEN #JAY #NoToJeepneyPhaseout 
@ENHYPEN_members",,1,3,,,
박 찬린,@Manilas_Venus,2023-03-20T00:39:41.000Z,"GOOD MORNING JAAAAY #ENHYPEN #JAY 
@ENHYPEN_members
#NoToJeepneyPhaseout

https://instagram.com/stories/lovingholidays/3062283621667871878?utm_source=ig_story_item_share&igshid=MDJmNzVkMjY=…",,,,,,
Beachesa,@nicheenita,2023-03-19T23:40:38.000Z,"So 4 days ago, I was late because tumirik 'yung PNR TWO TIMES
Today, 'yung LRT may technical problems daw. Wala raw bumabiyaheng tren. Walang lead time anong oras maaayos.
Lunes na lunes, sinusubok ako.

Anw, buti na lang may jeep.
#NoToJeepneyPhaseout talaga.",,,,,,
Minister of pre-colonial Philippines,@MTruthbringer,2023-03-19T23:37:51.000Z,"Ok to the #kajomalives and #labanpilipinas and #NoToJeepneyPhaseout, do you need more proof that the ICC is a sham and a lapdog to the USA or are you that retarded?",2,1,,,,
Ryan Leyco Faura,@hisRyanHighness,2023-03-19T14:12:18.000Z,"Replying to 
@aynbernos",,,,,,
That's too maj,@thydamsel,2023-03-19T13:30:58.000Z,"Sana ganyan nalang nangyari sa kin noon sa exam ko. Kaso nahold up pa ko sa jeep 

Pero ##NoToJeepneyPhaseOut parin baka nagkakalimutan tayo ",,,1,,,
Panday Sining - PUP,@PandaySiningPUP,2023-03-19T12:09:41.000Z,"Makisakay, makibaka, kasama ng masa:
http://bit.ly/JOINPSPUP
http://bit.ly/JOINPSPUP
http://bit.ly/JOINPSPUP

#TanglawFest2023
#ArtistaNgBayanNgayonAyLumalaban
#NoToJeepneyPhaseout",,,,,,
フィリップ,@MrMadrid00,2023-03-19T11:05:31.000Z,"Me: Stayed all day in the transient while watching Glocos vlog: Hogwarts Legacy and had a mood to write. 
#NoToJeepneyPhaseout",1,,1,,,
antokin,@antokin_24oras,2023-03-19T10:52:54.000Z,"Replying to 
@kentbangtan21",,,,,,
zild,@zildbeniten,2023-03-19T10:38:43.000Z,#NoToJeepneyPhaseout kahit na para akong nasa impyerno <3,1,,4,,,
.,@souljayomi,2023-03-19T10:33:18.000Z,"hahahaha #NoToJeepneyPhaseout  
@hanirki",,1,1,,,
KaunlaranParaSaLahat,@sehnsucht624,2023-03-19T08:55:21.000Z,"Kahit tarantado magmaneho karamihan sa jeepney drivers, #NoToJeepneyPhaseout .",,,,,,
SCMP-UP Diliman,@scmp_upd,2023-03-19T07:50:39.000Z,"Sunday Reflection
Hans De Castro
 
“Gumising ka, ikaw na natutulog,
    bumangon ka mula sa libingan,
at liliwanagan ka ni Kristo""

#NoToMandatoryROTC
#NoToJeepneyPhaseout
#SahodItaasPresyoIbaba
#RejectMarcosDuterte",,9,10,,,
T,@d4LALISA,2023-03-19T04:38:55.000Z,#NoToJeepneyPhaseout shirt next,,,,,,
comms open,@imdawae_,2023-03-19T04:34:29.000Z,"miss bakit ka sa akin nakatingin?
fb name ko ba ay iyong hihingin?

#artph #NoToJeepneyPhaseout",,,5,,,
jaljalani,@eeeamnellaj,2023-03-19T03:33:05.000Z,"#NoToJeepneyPhaseout 

Ako na mabigat pa talaga huling sumakay. I'm sorry, Ma! ",,,3,,,
ke,@sha_myang,2023-03-19T02:41:36.000Z,#notojeepneyphaseout hjnuy5u7hjy5nhnuyyty,,,,,,
FilipinaExpat,@LizetteZambran4,2023-03-19T02:23:18.000Z,#NoToJeepneyPhaseout,,,1,,,
Catherine Reyes,@khate0817,2023-03-19T02:18:54.000Z,#NoToJeepneyPhaseout,,,,,,
,@marchisrogue,2023-03-19T02:13:24.000Z,magsiayos kayo #NoToJeepneyPhaseout gusto ko pang mag roadtrip at ikutin ang UP Diliman ng may Kyusi na patugtog,1,,,,,
nath,@user0122i8,2023-03-19T01:39:31.000Z,haha one time naghatag ko 20 tas ginsinsilyo sakon 6 pesos sge lang ah yadi pa ang 3 pesos #NoToJeepneyPhaseout,,,1,,,
zild,@zildbeniten,2023-03-19T00:47:29.000Z,"s'yempre isang klasik jeepney adventure is, yung late ka na, tapos magpapa-gas pa si manong driver! #NoToJeepneyPhaseout pa rin",,,2,,,
neil,@hynskn,2023-03-19T00:43:35.000Z,"at ngayon, alam ko na 'di na talaga ako.
#NoToJeepneyPhaseout",,,,,,
Ben West,@BenWest07,2023-03-19T00:30:16.000Z,"This is what they want to see everyday sa pag phase out ng jeep, tinaasan lang ceiling eh pwede na magtayuan tulad sa bus until di na makakilos lahat.
Di naiisip ang danger sa overloading..
#NoToJeepneyPhaseout",,,,,,
mi casa,@kyecries,2023-03-19T00:29:08.000Z,"#NoToJeepneyPhaseout 

Please give us support by liking the original post

https://facebook.com/100015619307748/posts/pfbid0358HcV48W2x5f8gA6mmyo5YvSL3UQCrpQFvHvwYxrwaRSkxi9rnnEuwtBBHu3NEGDl/?app=fbl…",,,,,,
crescent,@duuhnae,2023-03-18T17:12:43.000Z,"Replying to 
@kopibarb",1,,1,,,
emnjnsn,@emaaaaaaaaaaann,2023-03-18T15:49:28.000Z,"Replying to 
@marinaxsummers",,,,,,
ᴄᴀᴍɪʟᴀ,@lizardocamilaaa,2023-03-18T15:35:14.000Z,"Replying to 
@lovercigs",,,,,,
ZAM,@erikaaadcz,2023-03-18T15:14:47.000Z,"Cute ng nasakyan ko HAHAHAHAHA

#NoToJeepneyPhaseout",,,2,,,
the walking dead,@92VenK,2023-03-18T13:45:54.000Z,Paano mag bayad sa jeep? Hahaha #NoToJeepneyPhaseout,,,3,,,
KULAS Komiket Pride #92,@artnikulas,2023-03-18T08:26:41.000Z,"Boogsh nahabol sa print!

Suportahan natin laban ng mga tsuper! #NoToJeepneyPhaseout ",2,8,30,,,
Dua C-137,@Shit_cakess,2023-03-18T07:25:58.000Z,#NoToJeepneyPhaseout pa ako tapos dalawang jeep ung malapit na ako mabangga. Di ako nadisappoint sa part na malapit ako banggain ako dun sa part na di ako binangga na disappoint e hays,,,,,,
Kris_P,@Kris_404_p,2023-03-18T04:38:36.000Z,#NoToJeepneyPhaseout daw kasi. ,,,13,,,
PARA sa #ProPeopleTransport!,@PARA_AIT,2023-03-18T02:30:19.000Z,"Let us continue to assert that public transportation is a public service. Let us continue to fight for pro-people, inclusive, and mass public transportation that benefits everyone.

Read our full statement 

#NoToJeepneyPhaseout
#NoToPUVPhaseout",,4,7,,,
PARA sa #ProPeopleTransport!,@PARA_AIT,2023-03-18T02:30:05.000Z,"The recent announcement by the Department of Transportation (DOTr) to provide a ""discount"" on public utility vehicle (PUV) fares from P12 to P9 is welcome news for PARA! Advocates for Inclusive Transport and the rest of the commuting population.

#NoToJeepneyPhaseout",1,14,19,,,
fran,@franniesigz,2023-03-18T01:32:00.000Z,omw to dost exam today #notojeepneyphaseout,,,1,,,
zild,@zildbeniten,2023-03-18T00:44:17.000Z,talaga namang ang dami mong free time sa work kapag byaheng langit ang jeep #NoToJeepneyPhaseout talaga,,,2,,,
Chandler Haw,@woopoo_hehe,2023-03-17T16:59:00.000Z,"natulog

#NoToJeepneyPhaseout #LBL #NotSayingIDontLikeYouBut #mmk",,,,,,
Chandler Haw,@woopoo_hehe,2023-03-17T16:43:00.000Z,"Time check: reminder para matulog nako 

#NoToJeepneyPhaseout",,,,,,
Anakbayan Metro-Baguio,@abmetrobaguio,2023-03-17T12:26:46.000Z,"TINGNAN: Tumulong ang mga kabataan ng Baguio sa pag-iimbita ng mga jeepney drivers, dispatchers, at operators sa gaganaping pulong patungkol sa Jeepney Phaseout sa lungsod

#NoToJeepneyPhaseout",1,9,28,,,
kin,@jshcrge,2023-03-17T12:00:03.000Z,Bestie and his #NoToJeepneyPhaseout croomf,,,1,,,
CJ Urquico ✹,@cjurquico,2023-03-17T11:10:48.000Z,"Jeepneys are all unique. They’re colorful, loud, and are designed to their owner's wildly eclectic styles. Some had metal horses on the hood to resemble the horse-drawn calesa. 
https://medium.com/@cju/the-jeepneys-of-villa-maria-street-e91e6ae84da1…

#NoToJeepneyPhaseout",,,,,,
CJ Urquico ✹,@cjurquico,2023-03-17T11:07:11.000Z,"Jeepneys are all unique. They’re colorful, loud, and are designed to their owner's wildly eclectic styles. Some had metal horses on the hood to resemble the horse-drawn calesa. 
https://medium.com/@cju/the-jeepneys-of-villa-maria-street-e91e6ae84da1…

#NoToJeepneyPhaseout",,,,,,
spider-claire,@gottaloveamelie,2023-03-17T10:53:22.000Z,#NoToJeepneyPhaseout,,,,,,
Basag TV Dubai,@BarzSuriaga,2023-03-17T10:34:56.000Z,"Sobrang weird na talaga sa pinas, baka susunod nyan lahat na pati pangalan ng teacher mo nung grade 2 itanong na din... 
#NoToJeepneyPhaseout #Airport #tourist #ofw
@MIAAGovPH
 @Idolraffyishere
 @IdolRaffyTulfo",,,,,,
roldi,@humeheadbang,2023-03-17T08:32:31.000Z,buti andito si kuya chive taga bayad kay kuya jeep and taga sabi na kulang ung sukli (+comfy pa balikat pwede sumandal) #NoToJeepneyPhaseout,1,,,,,
; mer,@Merylle___,2023-03-17T07:51:20.000Z,10/10 lasang candy tapos walang tama. Vodka pa  also #NoToJeepneyPhaseout! Tignan mo naman yung design. Ganda ,1,,4,,,
Amora Art | ToyCon Jul 7-9,@_chikinikki,2023-03-17T04:49:33.000Z,yes! ang dapat i-phase out yung ganyang pagbukaka sa jeep #notojeepneyphaseout,,,8,,,
Jeepney Rants,@saSAGE_yo_o,2023-03-17T04:45:48.000Z,even though madalas ako naiirita sa mga nakakasalamuha ko sa jeep ang interesting isipin na each person sa jeep may different destination and different stories BTW IM BACK BITCHESSSS #NoToJeepneyPhaseout,,,,,,
Tortang Talong | Jaye,@potattooooeeee,2023-03-17T01:42:23.000Z,#NoToJeepneyPhaseout ,,,,,,
"kamag-aral, aktibista",@tibakmagaaral,2023-03-17T01:42:04.000Z,"legit kilusang masa moment:

dumaan ako sa isang terminal (isang protest center) ng mga jeep para sumakay at pumunta sa paroroonan. 

pagdating ko doon, nagpapapirma yung mga drayber sa mga pasahero ng petisyon hinggil sa #NoToJeepneyPhaseout, at sila mismo nagdidiscuss!",1,20,113,,,
no,@tulipstoo,2023-03-17T01:36:00.000Z,#NoToJeepneyPhaseout,,,,,,
gillian,@geealesea,2023-03-16T22:56:11.000Z,I remember mukabit ko sa jeep para lang dili malate sa school hahahaha #NoToJeepneyPhaseout,,,1,,,
s2feed,@xvxtheyarnnxyz,2023-03-16T22:54:26.000Z,"nagre-review ako sa jeep, tas may nauntog 
#NoToJeepneyPhaseout",,,2,,,
Siak ni Jason V. #BringBazooHome,@LokalNaDayo,2023-03-16T22:21:08.000Z,#Alamat_Rji says #NoToJeepneyPhaseout ,,,1,,,
q,@yusirneyt,2023-03-16T19:25:49.000Z,#NoToJeepneyPhaseout https://twitter.com/ruhlare/status/1635958915602206726…,,,,,,
jaeeee⁸ | yeomonth,@moooonjae,2023-03-16T18:04:09.000Z,#NoToJeepneyPhaseout,,,,,,
𝘦𝘭𝘭𝘦,@PSH00NK1,2023-03-16T16:52:13.000Z,#NoToJeepneyPhaseout,,,1,,,
UPLB BS C.E CUTIE,@jerseyluvr,2023-03-16T12:31:26.000Z,"Tawang tawa pa rin talaga ako sa ateng nakasabay namin kanina, ang stable nya mag sulat kahit na gumegewang yung jeep siya yung ""sign of maturity sa jeep gumagawa ng assignment"" HWUHAYAHAHAHHAHAHAHAHAHAHAHAHHAHAHHAHAHAH

#notojeepneyphaseout",1,,,,,
UP Cineastes' Studio,@UPCineastes,2023-03-16T12:09:15.000Z,"Naniniwala kami na ang modernisasyon ay hindi dapat para sa interes ng mga negosyante at mayayaman,kundi, ang tunay na modernisasyon ay kasama ang mga manggagawa’t mamamayan.

#NoToJeepneyPhaseout
#FilmmakersAtAnyCost
#Cineastes38
#BeCineaste",,1,1,,,
alon,@mrhaeresys,2023-03-16T12:08:53.000Z,#NoToJeepneyPhaseout,,,3,,,
owshi,@shllpnr_,2023-03-16T11:29:59.000Z,"Replying to 
@Sienna_G08",,,,,,
GINNY,@ginnytweets_,2023-03-16T11:27:32.000Z,"#NoToJeepneyPhaseout pero yung mga drivers na kaskasero magmaneho, feeling nasa roadshow palagi at walang pakialam sa safety ng mga sakay nila UNAHIN NA SANA MA-PHASE OUT ",,,,,,
etc.,@dinoteefies,2023-03-16T11:08:51.000Z,#NoToJeepneyPhaseout! ang 150 pesos ko sa tricycle ay 14 pesos lang sa jeep ,1,,,,,
veve,@vaughnchaughn,2023-03-16T10:14:25.000Z,"No to jeepney phaseout

#artph #NoToJeepneyPhaseout",,1,1,,,
UP Kabataang Pilosopo Tasyo,@up_kapitas,2023-03-16T10:07:18.000Z,"Sagutan ang Google Form na ito upang makatanggap ng recorded 𝗦𝗽𝗲𝗰𝗶𝗮𝗹 𝗔𝗽𝗽𝗹𝗶𝗰𝗮𝗻𝘁𝘀' 𝗢𝗿𝗶𝗲𝗻𝘁𝗮𝘁𝗶𝗼𝗻. Maaaring magsagot hanggang 18 Marso 2023 ng 6:00 PM.

Register here: http://tinyurl.com/SakayNaTasyoLastTrip…

#NoToJeepneyPhaseout
#SakayNaTasyo ",,3,3,,,
UP Kabataang Pilosopo Tasyo,@up_kapitas,2023-03-16T10:00:00.000Z,"Maraming salamat sa mga dumalo sa 𝗦𝗮𝗸𝗮𝘆 𝗻𝗮, 𝗧𝗮𝘀𝘆𝗼! 𝗨𝗣 𝗞𝗮𝗯𝗮𝘁𝗮𝗮𝗻𝗴 𝗣𝗶𝗹𝗼𝘀𝗼𝗽𝗼 𝗧𝗮𝘀𝘆𝗼 𝗚𝗿𝗮𝗻𝗱 𝗔𝗽𝗽𝗹𝗶𝗰𝗮𝗻𝘁𝘀’ 𝗢𝗿𝗶𝗲𝗻𝘁𝗮𝘁𝗶𝗼𝗻!

#NoToJeepneyPhaseout
#SakayNaTasyo ",1,7,12,,,
depressed Philadelphia fan,@Threshaaa,2023-03-16T09:33:21.000Z,"Lahat ng paraan para gipitin sila, gagawin. #NoToJeepneyPhaseout",,,3,,,
